ID,Title,Price,Miles,Location,Market Price
105,2013 Chevrolet Silverado 1500 LT Extended Cab 4WD,$8998,204254 mi,"Delavan, WI",$2605 below market
106,2021 Ford F-150 XLT SuperCrew 4WD,$39898,20260 mi,"Delavan, WI",$4506 below market
107,2021 Cadillac XT5 Premium Luxury AWD,$40884,8106 mi,"Delavan, WI",$3771 below market
108,2021 Chevrolet Suburban Z71 4WD,$59898,48674 mi,"Delavan, WI",$4990 below market
109,2016 GMC Yukon SLE 4WD,$29999,50500 mi,"Sheboygan Falls, WI",$2128 below market
110,2020 Volvo XC90 T6 Momentum 7-Passenger AWD,$38929,34729 mi,"Waukesha, WI",$2918 below market
111,2017 Chevrolet Tahoe LT 4WD,$28594,111278 mi,"Milwaukee, WI",$2357 below market
112,2020 Chevrolet Equinox 2.0T Premier AWD,$29282,4777 mi,"Milwaukee, WI",$2345 below market
113,2020 Toyota Tacoma TRD Sport Double Cab 4WD,$35800,24317 mi,"Milwaukee, WI",$3496 below market
114,2014 Chevrolet Equinox LS AWD,$12996,84149 mi,"Fort Atkinson, WI",$70 below market
115,2022 Ford Escape SE AWD,$29649,2577 mi,"Milwaukee, WI",$996 below market
116,2018 Kia Optima LX,$16000,73010 mi,"Beaver Dam, WI",$0 above market
117,2015 Chevrolet Equinox 1LT FWD,$13977,81410 mi,"Milwaukee, WI",$49 below market
118,2004 Cadillac XLR RWD,$20999,49495 mi,"Brown Deer, WI",$3609 below market
119,2023 Acura RDX SH-AWD with Advance and A-Spec Package,$49686,351 mi,"Milwaukee, WI",$2892 below market
120,2020 Dodge Charger Scat Pack RWD,$40899,44968 mi,"West Bend, WI",$2571 below market
121,2020 Ford Ranger XL SuperCab 4WD,$19580,133189 mi,"Watertown, WI",$2514 below market
122,2020 GMC Sierra 1500 SLT Crew Cab 4WD,$43580,48600 mi,"Watertown, WI",$2900 below market
123,2019 Chevrolet Camaro,$26995,1787 mi,"Plymouth, WI",$3768 below market
124,2013 Chevrolet Silverado 1500 LT Extended Cab 4WD,$8998,204254 mi,"Delavan, WI",$2605 below market
125,2021 Ford F-150 XLT SuperCrew 4WD,$39898,20260 mi,"Delavan, WI",$4506 below market
126,2021 Cadillac XT5 Premium Luxury AWD,$40884,8106 mi,"Delavan, WI",$3771 below market
127,2021 Chevrolet Suburban Z71 4WD,$59898,48674 mi,"Delavan, WI",$4990 below market
128,2016 GMC Yukon SLE 4WD,$29999,50500 mi,"Sheboygan Falls, WI",$2128 below market
129,2020 Volvo XC90 T6 Momentum 7-Passenger AWD,$38929,34729 mi,"Waukesha, WI",$2918 below market
130,2017 Chevrolet Tahoe LT 4WD,$28594,111278 mi,"Milwaukee, WI",$2357 below market
131,2020 Chevrolet Equinox 2.0T Premier AWD,$29282,4777 mi,"Milwaukee, WI",$2345 below market
132,2020 Toyota Tacoma TRD Sport Double Cab 4WD,$35800,24317 mi,"Milwaukee, WI",$3496 below market
133,2022 Chevrolet Silverado 2500HD LT Crew Cab 4WD,$62795,7516 mi,"Milwaukee, WI",$513 below market
134,2018 Cadillac XT5 Luxury AWD,$24797,53004 mi,"West Allis, WI",$3319 below market
135,2017 Cadillac XT5 Luxury AWD,$25511,44150 mi,"Milwaukee, WI",$1310 below market
136,2020 Ford Edge SEL AWD,$27999,33224 mi,"Random Lake, WI",$904 below market
137,2020 Ford F-150 Lariat SuperCrew 4WD,$33955,72973 mi,"Milwaukee, WI",$7141 below market
138,2012 Toyota RAV4 Base,$7999,125247 mi,"Zion, IL",$3840 below market
139,2007 Ford F-250 Super Duty Lariat Crew Cab 4WD,$11999,142287 mi,"Zion, IL",$6291 below market
140,2021 Jeep Wrangler Unlimited Rubicon 392 4WD,$65305,10945 mi,"Plymouth, WI",$11400 below market
141,2022 Jeep Compass Latitude FWD,$23105,9168 mi,"Plymouth, WI",$4786 below market
142,2013 Ford Escape SE AWD,$6999,111077 mi,"Milwaukee, WI",$3643 below market
143,2015 Chrysler Town & Country Touring-L FWD,$10995,99926 mi,"Fox Lake, IL",$3860 below market
144,2017 RAM 1500 Big Horn Crew Cab 4WD,$19995,128055 mi,"Mchenry, IL",$4387 below market
145,2019 Ford F-150 XLT SuperCrew LB 4WD,$32994,35626 mi,"Sheboygan, WI",$6179 below market
146,2021 BMW X5 M AWD,$84858,11135 mi,"Milwaukee, WI",$8218 below market
147,2013 Honda Odyssey EX-L FWD,$7998,169189 mi,"Milwaukee, WI",$3345 below market
148,2020 Ford Explorer Platinum AWD,$35458,45472 mi,"Oconomowoc, WI",$5394 below market
149,2023 Cadillac XT6 Premium Luxury AWD,$51000,2326 mi,"Plymouth, WI",$6480 below market
150,2017 Ford F-150 XLT 4WD,$15935,157369 mi,"Milwaukee, WI",$4676 below market
151,2020 Honda CR-V EX-L AWD,$27424,25954 mi,"Milwaukee, WI",$3309 below market
152,2020 GMC Canyon Denali Crew Cab 4WD,$36695,40520 mi,"Milwaukee, WI",$1151 below market
153,2019 Hyundai Santa Fe XL Limited Ultimate AWD,$21999,96504 mi,"Franklin, WI",$1828 below market
154,2021 Cadillac Escalade Premium Luxury 4WD,$86999,18541 mi,"Sheboygan, WI",$1249 below market
155,2021 RAM 1500 Limited Crew Cab 4WD,$54994,21022 mi,"Mount Pleasant, WI",$2507 below market
156,2020 Buick Encore GX Essence AWD,$21899,53377 mi,"Gurnee, IL",$3359 below market
157,2022 Chevrolet Silverado 1500 LT Crew Cab 4WD,$41999,3723 mi,"Saukville, WI",$4262 below market
158,2021 Cadillac XT4 Sport AWD,$34999,17477 mi,"Saukville, WI",$3749 below market
159,2022 Volkswagen ID.4 Pro S RWD,$35706,3794 mi,"Milwaukee, WI",$3214 below market
160,2019 Chevrolet Silverado 1500 LTZ Crew Cab 4WD,$41765,41100 mi,"Cedarburg, WI",$2893 below market
161,2020 Ford F-150 XLT SuperCrew 4WD,$36994,32889 mi,"Cedarburg, WI",$2597 below market
162,2022 Chevrolet Traverse LT Leather AWD,$37500,26241 mi,"Cedarburg, WI",$2435 below market
163,2022 Chevrolet Silverado 3500HD High Country Crew Cab 4WD,$72998,17737 mi,"Cedarburg, WI",$3193 below market
164,2022 Jeep Renegade Limited 4WD,$27894,9243 mi,"Gurnee, IL",$1625 below market
165,2023 Volkswagen Golf R 2.0T 4Motion AWD,$52227,1916 mi,"Milwaukee, WI",$3955 below market
166,2023 Porsche Macan T AWD,$61382,2301 mi,"Milwaukee, WI",$5636 below market
167,2021 Honda Accord Hybrid Touring FWD,$31150,24401 mi,"Gurnee, IL",$2558 below market
168,2022 Hyundai Santa Fe SEL AWD,$29500,15795 mi,"Gurnee, IL",$3087 below market
169,2016 Nissan Rogue S FWD,$10990,101100 mi,"Gurnee, IL",$2296 below market
170,2020 GMC Sierra 2500HD AT4 Crew Cab 4WD,$54603,55629 mi,"Plymouth, WI",$5430 below market
171,2021 Mercedes-Benz E-Class E AMG 53 4MATIC Sedan AWD,$65960,23584 mi,"Milwaukee, WI",$1082 below market
172,2021 Chevrolet Trailblazer RS AWD,$28295,19043 mi,"Milwaukee, WI",$374 below market
173,2021 Volkswagen ID.4 Pro S AWD,$38990,7179 mi,"Mequon, WI",$1168 below market
174,2022 Dodge Challenger R/T Scat Pack RWD,$50990,4105 mi,"Burlington, WI",$701 below market
175,2020 Buick Encore GX Essence AWD,$21899,53377 mi,"Gurnee, IL",$3359 below market
176,2022 Chevrolet Silverado 1500 LT Crew Cab 4WD,$41999,3723 mi,"Saukville, WI",$4262 below market
177,2021 Cadillac XT4 Sport AWD,$34999,17477 mi,"Saukville, WI",$3749 below market
178,2022 Volkswagen ID.4 Pro S RWD,$35706,3794 mi,"Milwaukee, WI",$3214 below market
179,2019 Chevrolet Silverado 1500 LTZ Crew Cab 4WD,$41765,41100 mi,"Cedarburg, WI",$2893 below market
180,2020 Ford F-150 XLT SuperCrew 4WD,$36994,32889 mi,"Cedarburg, WI",$2597 below market
181,2022 Chevrolet Traverse LT Leather AWD,$37500,26241 mi,"Cedarburg, WI",$2435 below market
182,2022 Chevrolet Silverado 3500HD High Country Crew Cab 4WD,$72998,17737 mi,"Cedarburg, WI",$3193 below market
183,2022 Jeep Renegade Limited 4WD,$27894,9243 mi,"Gurnee, IL",$1625 below market
184,2023 Volkswagen Golf R 2.0T 4Motion AWD,$52227,1916 mi,"Milwaukee, WI",$3955 below market
185,2023 Porsche Macan T AWD,$61382,2301 mi,"Milwaukee, WI",$5636 below market
186,2021 Honda Accord Hybrid Touring FWD,$31150,24401 mi,"Gurnee, IL",$2558 below market
187,2022 Hyundai Santa Fe SEL AWD,$29500,15795 mi,"Gurnee, IL",$3087 below market
188,2016 Nissan Rogue S FWD,$10990,101100 mi,"Gurnee, IL",$2296 below market
189,2020 GMC Sierra 2500HD AT4 Crew Cab 4WD,$54603,55629 mi,"Plymouth, WI",$5430 below market
190,2021 Nissan Murano SL AWD,$31831,26633 mi,"Gurnee, IL",$746 below market
191,2015 Toyota Camry Hybrid,$15995,111134 mi,"Fox Lake, IL",$682 below market
192,2021 RAM 1500 Laramie Crew Cab 4WD,$45250,18619 mi,"Plymouth, WI",$3145 below market
193,2020 Ford Explorer XLT RWD,$27990,35645 mi,"West Bend, WI",$3564 below market
194,2020 Buick Encore GX Essence AWD,$21899,53377 mi,"Gurnee, IL",$3359 below market
195,2022 Chevrolet Silverado 1500 LT Crew Cab 4WD,$41999,3723 mi,"Saukville, WI",$4262 below market
196,2021 Cadillac XT4 Sport AWD,$34999,17477 mi,"Saukville, WI",$3749 below market
197,2022 Volkswagen ID.4 Pro S RWD,$35706,3794 mi,"Milwaukee, WI",$3214 below market
198,2019 Chevrolet Silverado 1500 LTZ Crew Cab 4WD,$41765,41100 mi,"Cedarburg, WI",$2893 below market
199,2020 Ford F-150 XLT SuperCrew 4WD,$36994,32889 mi,"Cedarburg, WI",$2597 below market
200,2022 Chevrolet Traverse LT Leather AWD,$37500,26241 mi,"Cedarburg, WI",$2435 below market
201,2022 Chevrolet Silverado 3500HD High Country Crew Cab 4WD,$72998,17737 mi,"Cedarburg, WI",$3193 below market
202,2022 Jeep Renegade Limited 4WD,$27894,9243 mi,"Gurnee, IL",$1625 below market
203,2023 Volkswagen Golf R 2.0T 4Motion AWD,$52227,1916 mi,"Milwaukee, WI",$3955 below market
204,2023 Porsche Macan T AWD,$61382,2301 mi,"Milwaukee, WI",$5636 below market
205,2021 Honda Accord Hybrid Touring FWD,$31150,24401 mi,"Gurnee, IL",$2558 below market
206,2022 Hyundai Santa Fe SEL AWD,$29500,15795 mi,"Gurnee, IL",$3087 below market
207,2016 Nissan Rogue S FWD,$10990,101100 mi,"Gurnee, IL",$2296 below market
208,2020 GMC Sierra 2500HD AT4 Crew Cab 4WD,$54603,55629 mi,"Plymouth, WI",$5430 below market
209,2022 Ford F-150 XLT SuperCrew 4WD,$48986,24347 mi,"Milwaukee, WI",$1026 below market
210,2021 Ford Mustang Mach 1 Coupe RWD,$51600,7028 mi,"Lake Geneva, WI",$3928 below market
211,2015 Mercedes-Benz E-Class E 350 4MATIC Sedan AWD,$15998,107358 mi,"West Allis, WI",$1030 below market
212,2020 Ford F-150 XLT SuperCrew 4WD,$36994,32889 mi,"Cedarburg, WI",$2597 below market
213,2020 Ford F-150 Lariat SuperCrew 4WD,$33955,72973 mi,"Milwaukee, WI",$7141 below market
214,2012 Toyota RAV4 Base,$7999,125247 mi,"Zion, IL",$3840 below market
215,2007 Ford F-250 Super Duty Lariat Crew Cab 4WD,$11999,142287 mi,"Zion, IL",$6291 below market
216,2021 Jeep Wrangler Unlimited Rubicon 392 4WD,$65305,10945 mi,"Plymouth, WI",$11400 below market
217,2022 Jeep Compass Latitude FWD,$23105,9168 mi,"Plymouth, WI",$4786 below market
218,2013 Ford Escape SE AWD,$6999,111077 mi,"Milwaukee, WI",$3643 below market
219,2015 Chrysler Town & Country Touring-L FWD,$10995,99926 mi,"Fox Lake, IL",$3860 below market
220,2017 RAM 1500 Big Horn Crew Cab 4WD,$19995,128055 mi,"Mchenry, IL",$4387 below market
221,2019 Ford F-150 XLT SuperCrew LB 4WD,$32994,35626 mi,"Sheboygan, WI",$6179 below market
222,2021 BMW X5 M AWD,$84858,11135 mi,"Milwaukee, WI",$8218 below market
223,2013 Honda Odyssey EX-L FWD,$7998,169189 mi,"Milwaukee, WI",$3345 below market
224,2020 Ford Explorer Platinum AWD,$35458,45472 mi,"Oconomowoc, WI",$5394 below market
225,2023 Cadillac XT6 Premium Luxury AWD,$51000,2326 mi,"Plymouth, WI",$6480 below market
226,2017 Ford F-150 XLT 4WD,$15935,157369 mi,"Milwaukee, WI",$4676 below market
227,2020 Honda CR-V EX-L AWD,$27424,25954 mi,"Milwaukee, WI",$3309 below market
228,2021 Nissan Sentra SV FWD,$18799,60035 mi,"Waukesha, WI",$925 below market
229,2017 Ford F-250 Super Duty Lariat Crew Cab LB 4WD,$47700,56356 mi,"Thiensville, WI",$353 below market
230,2019 Cadillac XT5 Luxury AWD,$32490,42955 mi,"Brookfield, WI",$905 above market
231,2019 Hyundai Sonata 2.0T Limited FWD,$23995,62842 mi,"Watertown, WI",$709 above market
232,2004 Cadillac XLR RWD,$20999,49495 mi,"Brown Deer, WI",$3609 below market
233,2023 Acura RDX SH-AWD with Advance and A-Spec Package,$49686,351 mi,"Milwaukee, WI",$2892 below market
234,2020 Dodge Charger Scat Pack RWD,$40899,44968 mi,"West Bend, WI",$2571 below market
235,2020 Ford Ranger XL SuperCab 4WD,$19580,133189 mi,"Watertown, WI",$2514 below market
236,2020 GMC Sierra 1500 SLT Crew Cab 4WD,$43580,48600 mi,"Watertown, WI",$2900 below market
237,2019 Chevrolet Camaro,$26995,1787 mi,"Plymouth, WI",$3768 below market
238,2013 Chevrolet Silverado 1500 LT Extended Cab 4WD,$8998,204254 mi,"Delavan, WI",$2605 below market
239,2021 Ford F-150 XLT SuperCrew 4WD,$39898,20260 mi,"Delavan, WI",$4506 below market
240,2021 Cadillac XT5 Premium Luxury AWD,$40884,8106 mi,"Delavan, WI",$3771 below market
241,2021 Chevrolet Suburban Z71 4WD,$59898,48674 mi,"Delavan, WI",$4990 below market
242,2016 GMC Yukon SLE 4WD,$29999,50500 mi,"Sheboygan Falls, WI",$2128 below market
243,2020 Volvo XC90 T6 Momentum 7-Passenger AWD,$38929,34729 mi,"Waukesha, WI",$2918 below market
244,2017 Chevrolet Tahoe LT 4WD,$28594,111278 mi,"Milwaukee, WI",$2357 below market
245,2020 Chevrolet Equinox 2.0T Premier AWD,$29282,4777 mi,"Milwaukee, WI",$2345 below market
246,2020 Toyota Tacoma TRD Sport Double Cab 4WD,$35800,24317 mi,"Milwaukee, WI",$3496 below market
247,2022 RAM 1500 Big Horn Quad Cab 4WD,$39062,31107 mi,"Antioch, IL",$1383 below market
248,2019 Ford F-150 Lariat SuperCrew 4WD,$39988,40883 mi,"Milwaukee, WI",$416 below market
249,2019 Ford Expedition Limited 4WD,$35990,101457 mi,"Burlington, WI",$995 below market
250,2015 Audi R8 quattro V8 Coupe AWD,$79500,65335 mi,"Gurnee, IL",$6365 below market
251,2020 Ford F-150 Lariat SuperCrew 4WD,$33955,72973 mi,"Milwaukee, WI",$7141 below market
252,2012 Toyota RAV4 Base,$7999,125247 mi,"Zion, IL",$3840 below market
253,2007 Ford F-250 Super Duty Lariat Crew Cab 4WD,$11999,142287 mi,"Zion, IL",$6291 below market
254,2021 Jeep Wrangler Unlimited Rubicon 392 4WD,$65305,10945 mi,"Plymouth, WI",$11400 below market
255,2022 Jeep Compass Latitude FWD,$23105,9168 mi,"Plymouth, WI",$4786 below market
256,2013 Ford Escape SE AWD,$6999,111077 mi,"Milwaukee, WI",$3643 below market
257,2015 Chrysler Town & Country Touring-L FWD,$10995,99926 mi,"Fox Lake, IL",$3860 below market
258,2017 RAM 1500 Big Horn Crew Cab 4WD,$19995,128055 mi,"Mchenry, IL",$4387 below market
259,2019 Ford F-150 XLT SuperCrew LB 4WD,$32994,35626 mi,"Sheboygan, WI",$6179 below market
260,2021 BMW X5 M AWD,$84858,11135 mi,"Milwaukee, WI",$8218 below market
261,2013 Honda Odyssey EX-L FWD,$7998,169189 mi,"Milwaukee, WI",$3345 below market
262,2020 Ford Explorer Platinum AWD,$35458,45472 mi,"Oconomowoc, WI",$5394 below market
263,2023 Cadillac XT6 Premium Luxury AWD,$51000,2326 mi,"Plymouth, WI",$6480 below market
264,2017 Ford F-150 XLT 4WD,$15935,157369 mi,"Milwaukee, WI",$4676 below market
265,2020 Honda CR-V EX-L AWD,$27424,25954 mi,"Milwaukee, WI",$3309 below market
266,2020 Ford Explorer Limited AWD,$37900,18434 mi,"Thiensville, WI",$1205 below market
267,2019 Chevrolet Silverado 1500 LT Trail Boss Crew Cab 4WD,$42995,48283 mi,"Milwaukee, WI",$725 below market
268,2016 MINI Cooper S 4-Door Hatchback FWD,$17997,54901 mi,"West Allis, WI",$694 below market
269,2018 Chrysler Pacifica Touring L Plus FWD,$24105,75431 mi,"Plymouth, WI",$1300 below market
270,2020 Ford F-150 Lariat SuperCrew 4WD,$33955,72973 mi,"Milwaukee, WI",$7141 below market
